file_path,label,set_type
train/not-good/slice035_011.png,1,train
train/not-good/slice001_015.png,1,train
train/not-good/Slice_Bad (269).png,1,train
train/not-good/slice032_000.png,1,train
train/not-good/Slice_Bad (265).png,1,train
train/not-good/slice024_013.png,1,train
train/not-good/slice004_000.png,1,train
train/not-good/Slice_Bad (157).png,1,train
train/not-good/slice016_003.png,1,train
train/not-good/Slice_Bad (166).png,1,train
train/not-good/slice046_008.png,1,train
train/not-good/Slice_Bad (115).png,1,train
train/not-good/slice024_012.png,1,train
train/not-good/Slice_Bad (80).png,1,train
train/not-good/slice041_003.png,1,train
train/not-good/slice013_009.png,1,train
train/not-good/slice048_005.png,1,train
train/not-good/slice055_015.png,1,train
train/not-good/slice036_002.png,1,train
train/not-good/slice041_005.png,1,train
train/not-good/slice054_005.png,1,train
train/not-good/slice047_008.png,1,train
train/not-good/slice048_004.png,1,train
train/not-good/Slice_Bad (18).png,1,train
train/not-good/slice020_003.png,1,train
train/not-good/slice018_002.png,1,train
train/not-good/Slice_Bad (17).png,1,train
train/not-good/slice049_011.png,1,train
train/not-good/Slice_Bad (6).png,1,train
train/not-good/Slice_Bad (88).png,1,train
train/not-good/Slice_Bad (151).png,1,train
train/not-good/slice013_005.png,1,train
train/not-good/slice020_013.png,1,train
train/not-good/Slice_Bad (258).png,1,train
train/not-good/slice049_000.png,1,train
train/not-good/slice040_004.png,1,train
train/not-good/slice037_012.png,1,train
train/not-good/Slice_Bad (169).png,1,train
train/not-good/slice045_000.png,1,train
train/not-good/slice035_013.png,1,train
train/not-good/slice004_013.png,1,train
train/not-good/slice027_012.png,1,train
train/not-good/slice025_012.png,1,train
train/not-good/Slice_Bad (271).png,1,train
train/not-good/slice019_013.png,1,train
train/not-good/slice004_005.png,1,train
train/not-good/slice042_013.png,1,train
train/not-good/slice005_013.png,1,train
train/not-good/slice054_013.png,1,train
train/not-good/slice038_009.png,1,train
train/not-good/slice009_005.png,1,train
train/not-good/slice036_003.png,1,train
train/not-good/slice029_010.png,1,train
train/not-good/Slice_Bad (185).png,1,train
train/not-good/slice046_004.png,1,train
train/not-good/slice027_009.png,1,train
train/not-good/slice005_001.png,1,train
train/not-good/slice019_007.png,1,train
train/not-good/Slice_Bad (221).png,1,train
train/not-good/Slice_Bad (141).png,1,train
train/not-good/Slice_Bad (20).png,1,train
train/not-good/slice045_013.png,1,train
train/not-good/Slice_Bad (257).png,1,train
train/not-good/Slice_Bad (52).png,1,train
train/not-good/Slice_Bad (78).png,1,train
train/not-good/slice001_006.png,1,train
train/not-good/slice034_008.png,1,train
train/not-good/slice012_006.png,1,train
train/not-good/slice034_004.png,1,train
train/not-good/slice029_005.png,1,train
train/not-good/Slice_Bad (198).png,1,train
train/not-good/slice005_007.png,1,train
train/not-good/slice000_008.png,1,train
train/not-good/Slice_Bad (262).png,1,train
train/not-good/slice005_000.png,1,train
train/not-good/slice038_006.png,1,train
train/not-good/slice013_007.png,1,train
train/not-good/Slice_Bad (199).png,1,train
train/not-good/slice053_001.png,1,train
train/not-good/slice045_005.png,1,train
train/not-good/Slice_Bad (259).png,1,train
train/not-good/Slice_Bad (244).png,1,train
train/not-good/Slice_Bad (181).png,1,train
train/not-good/slice024_007.png,1,train
train/not-good/Slice_Bad (182).png,1,train
train/not-good/slice057_014.png,1,train
train/not-good/slice044_002.png,1,train
train/not-good/Slice_Bad (123).png,1,train
train/not-good/slice055_008.png,1,train
train/not-good/Slice_Bad (31).png,1,train
train/not-good/slice037_007.png,1,train
train/not-good/slice053_003.png,1,train
train/not-good/slice050_008.png,1,train
train/not-good/Slice_Bad (197).png,1,train
train/not-good/Slice_Bad (253).png,1,train
train/not-good/slice042_008.png,1,train
train/not-good/slice046_015.png,1,train
train/not-good/Slice_Bad (232).png,1,train
train/not-good/Slice_Bad (49).png,1,train
train/not-good/slice053_010.png,1,train
train/not-good/slice044_009.png,1,train
train/not-good/Slice_Bad (170).png,1,train
train/not-good/slice057_008.png,1,train
train/not-good/Slice_Bad (266).png,1,train
train/not-good/slice043_008.png,1,train
train/not-good/slice054_001.png,1,train
train/not-good/slice044_005.png,1,train
train/not-good/slice037_013.png,1,train
train/not-good/slice010_001.png,1,train
train/not-good/Slice_Bad (178).png,1,train
train/not-good/slice040_015.png,1,train
train/not-good/Slice_Bad (230).png,1,train
train/not-good/Slice_Bad (231).png,1,train
train/not-good/slice045_001.png,1,train
train/not-good/slice028_003.png,1,train
train/not-good/slice003_002.png,1,train
train/not-good/slice041_009.png,1,train
train/not-good/slice054_002.png,1,train
train/not-good/Slice_Bad (37).png,1,train
train/not-good/slice009_000.png,1,train
train/not-good/Slice_Bad (46).png,1,train
train/not-good/Slice_Bad (133).png,1,train
train/not-good/slice053_002.png,1,train
train/not-good/slice061_008.png,1,train
train/not-good/slice002_005.png,1,train
train/not-good/Slice_Bad (136).png,1,train
train/not-good/slice060_008.png,1,train
train/not-good/Slice_Bad (97).png,1,train
train/not-good/slice053_004.png,1,train
train/not-good/slice046_014.png,1,train
train/not-good/slice017_006.png,1,train
train/not-good/slice043_002.png,1,train
train/not-good/Slice_Bad (160).png,1,train
train/not-good/slice034_002.png,1,train
train/not-good/slice046_013.png,1,train
train/not-good/slice045_010.png,1,train
train/not-good/Slice_Bad (65).png,1,train
train/not-good/slice026_015.png,1,train
train/not-good/Slice_Bad (116).png,1,train
train/not-good/slice050_014.png,1,train
train/not-good/Slice_Bad (4).png,1,train
train/not-good/slice014_004.png,1,train
train/not-good/slice020_000.png,1,train
train/not-good/Slice_Bad (245).png,1,train
train/not-good/slice012_001.png,1,train
train/not-good/slice050_001.png,1,train
train/not-good/Slice_Bad (53).png,1,train
train/not-good/slice037_009.png,1,train
train/not-good/slice039_012.png,1,train
train/not-good/Slice_Bad (226).png,1,train
train/not-good/Slice_Bad (114).png,1,train
train/not-good/Slice_Bad (128).png,1,train
train/not-good/slice018_001.png,1,train
train/not-good/Slice_Bad (203).png,1,train
train/not-good/slice010_003.png,1,train
train/not-good/slice009_001.png,1,train
train/not-good/Slice_Bad (164).png,1,train
train/not-good/slice001_001.png,1,train
train/not-good/slice042_009.png,1,train
train/not-good/slice049_012.png,1,train
train/not-good/Slice_Bad (75).png,1,train
train/not-good/slice038_013.png,1,train
train/not-good/slice016_006.png,1,train
train/not-good/slice003_008.png,1,train
train/not-good/slice009_009.png,1,train
train/not-good/Slice_Bad (82).png,1,train
train/not-good/slice047_003.png,1,train
train/not-good/slice049_004.png,1,train
train/not-good/Slice_Bad (261).png,1,train
train/not-good/slice046_009.png,1,train
train/not-good/slice020_010.png,1,train
train/not-good/slice044_001.png,1,train
train/not-good/Slice_Bad (104).png,1,train
train/not-good/Slice_Bad (155).png,1,train
train/not-good/Slice_Bad (172).png,1,train
train/not-good/slice046_007.png,1,train
train/not-good/slice049_013.png,1,train
train/not-good/slice058_006.png,1,train
train/not-good/slice053_011.png,1,train
train/not-good/Slice_Bad (158).png,1,train
train/not-good/slice014_011.png,1,train
train/not-good/slice042_012.png,1,train
train/not-good/slice057_010.png,1,train
train/not-good/Slice_Bad (270).png,1,train
train/not-good/slice014_003.png,1,train
train/not-good/Slice_Bad (168).png,1,train
train/not-good/slice045_008.png,1,train
train/not-good/Slice_Bad (260).png,1,train
train/not-good/Slice_Bad (200).png,1,train
train/not-good/Slice_Bad (83).png,1,train
train/not-good/Slice_Bad (103).png,1,train
train/not-good/slice014_015.png,1,train
train/not-good/slice050_011.png,1,train
train/not-good/slice002_001.png,1,train
train/not-good/slice004_014.png,1,train
train/not-good/Slice_Bad (207).png,1,train
train/not-good/Slice_Bad (117).png,1,train
train/not-good/Slice_Bad (147).png,1,train
train/not-good/Slice_Bad (28).png,1,train
train/not-good/Slice_Bad (15).png,1,train
train/not-good/slice019_001.png,1,train
train/not-good/Slice_Bad (240).png,1,train
train/not-good/Slice_Bad (89).png,1,train
train/not-good/slice041_004.png,1,train
train/not-good/Slice_Bad (135).png,1,train
train/not-good/slice057_011.png,1,train
train/not-good/slice012_007.png,1,train
train/not-good/slice002_007.png,1,train
train/not-good/slice016_014.png,1,train
train/not-good/slice034_006.png,1,train
train/not-good/slice048_008.png,1,train
train/not-good/slice013_000.png,1,train
train/not-good/slice014_000.png,1,train
train/not-good/Slice_Bad (189).png,1,train
train/not-good/slice034_003.png,1,train
train/not-good/Slice_Bad (263).png,1,train
train/not-good/slice059_010.png,1,train
train/not-good/slice028_004.png,1,train
train/not-good/Slice_Bad (7).png,1,train
train/not-good/slice015_001.png,1,train
train/not-good/Slice_Bad (38).png,1,train
train/not-good/Slice_Bad (27).png,1,train
train/not-good/Slice_Bad (264).png,1,train
train/not-good/slice043_014.png,1,train
train/not-good/Slice_Bad (173).png,1,train
train/not-good/Slice_Bad (188).png,1,train
train/not-good/Slice_Bad (162).png,1,train
train/not-good/Slice_Bad (272).png,1,train
train/not-good/Slice_Bad (113).png,1,train
train/not-good/slice043_007.png,1,train
train/not-good/slice036_015.png,1,train
train/not-good/slice012_003.png,1,train
train/not-good/slice047_013.png,1,train
train/not-good/Slice_Bad (100).png,1,train
train/not-good/slice027_004.png,1,train
train/not-good/slice060_009.png,1,train
train/not-good/slice014_008.png,1,train
train/not-good/slice043_001.png,1,train
train/not-good/slice041_007.png,1,train
train/not-good/Slice_Bad (16).png,1,train
train/not-good/slice002_008.png,1,train
train/not-good/Slice_Bad (35).png,1,train
train/not-good/slice034_001.png,1,train
train/not-good/slice009_010.png,1,train
train/not-good/slice050_003.png,1,train
train/not-good/slice048_013.png,1,train
train/not-good/slice025_010.png,1,train
train/not-good/Slice_Bad (134).png,1,train
train/not-good/slice049_003.png,1,train
train/not-good/Slice_Bad (107).png,1,train
train/not-good/slice010_007.png,1,train
train/not-good/slice047_014.png,1,train
train/not-good/Slice_Bad (70).png,1,train
train/not-good/slice057_009.png,1,train
train/not-good/slice016_005.png,1,train
train/not-good/Slice_Bad (48).png,1,train
train/not-good/Slice_Bad (187).png,1,train
train/not-good/Slice_Bad (102).png,1,train
train/not-good/slice049_001.png,1,train
train/not-good/Slice_Bad (91).png,1,train
train/not-good/Slice_Bad (68).png,1,train
train/not-good/Slice_Bad (119).png,1,train
train/not-good/slice041_012.png,1,train
train/not-good/Slice_Bad (138).png,1,train
train/not-good/Slice_Bad (194).png,1,train
train/not-good/Slice_Bad (205).png,1,train
train/not-good/slice037_005.png,1,train
train/not-good/slice024_008.png,1,train
train/not-good/slice015_006.png,1,train
train/not-good/Slice_Bad (195).png,1,train
train/not-good/slice054_004.png,1,train
train/not-good/Slice_Bad (137).png,1,train
train/not-good/slice002_013.png,1,train
train/not-good/Slice_Bad (184).png,1,train
train/not-good/slice043_003.png,1,train
train/not-good/slice027_007.png,1,train
train/not-good/slice016_015.png,1,train
train/not-good/Slice_Bad (220).png,1,train
train/not-good/slice060_014.png,1,train
train/not-good/slice009_003.png,1,train
train/not-good/slice010_009.png,1,train
train/not-good/Slice_Bad (186).png,1,train
train/not-good/Slice_Bad (62).png,1,train
train/not-good/slice009_008.png,1,train
train/not-good/Slice_Bad (242).png,1,train
train/not-good/Slice_Bad (36).png,1,train
train/not-good/slice024_006.png,1,train
train/not-good/slice046_012.png,1,train
train/not-good/Slice_Bad (85).png,1,train
train/not-good/Slice_Bad (127).png,1,train
train/not-good/Slice_Bad (99).png,1,train
train/not-good/slice042_002.png,1,train
train/not-good/Slice_Bad (81).png,1,train
train/not-good/slice012_010.png,1,train
train/not-good/Slice_Bad (125).png,1,train
train/not-good/Slice_Bad (69).png,1,train
train/not-good/slice020_007.png,1,train
train/not-good/slice004_006.png,1,train
train/not-good/slice053_015.png,1,train
train/not-good/Slice_Bad (243).png,1,train
train/not-good/slice034_005.png,1,train
train/not-good/Slice_Bad (132).png,1,train
train/not-good/slice049_006.png,1,train
train/not-good/slice015_008.png,1,train
train/not-good/slice004_007.png,1,train
train/not-good/slice035_009.png,1,train
train/not-good/slice049_015.png,1,train
train/not-good/Slice_Bad (42).png,1,train
train/not-good/Slice_Bad (67).png,1,train
train/not-good/slice005_008.png,1,train
train/not-good/slice012_011.png,1,train
train/not-good/Slice_Bad (153).png,1,train
train/not-good/slice020_014.png,1,train
train/not-good/slice048_009.png,1,train
train/not-good/slice034_000.png,1,train
train/not-good/slice035_004.png,1,train
train/not-good/Slice_Bad (201).png,1,train
train/not-good/Slice_Bad (148).png,1,train
train/not-good/slice049_005.png,1,train
train/not-good/Slice_Bad (229).png,1,train
train/not-good/slice020_015.png,1,train
train/not-good/slice050_002.png,1,train
train/not-good/Slice_Bad (57).png,1,train
train/not-good/slice041_011.png,1,train
train/not-good/slice027_008.png,1,train
train/not-good/slice045_004.png,1,train
train/not-good/slice014_007.png,1,train
train/not-good/Slice_Bad (44).png,1,train
train/not-good/slice002_006.png,1,train
train/not-good/slice058_005.png,1,train
train/not-good/Slice_Bad (64).png,1,train
train/not-good/Slice_Bad (34).png,1,train
train/not-good/slice016_002.png,1,train
train/not-good/slice025_009.png,1,train
train/not-good/Slice_Bad (74).png,1,train
train/not-good/Slice_Bad (54).png,1,train
train/not-good/slice011_003.png,1,train
train/not-good/slice004_011.png,1,train
train/not-good/Slice_Bad (190).png,1,train
train/not-good/slice059_004.png,1,train
train/not-good/slice004_001.png,1,train
train/not-good/slice053_005.png,1,train
train/not-good/slice016_001.png,1,train
train/not-good/Slice_Bad (191).png,1,train
train/not-good/Slice_Bad (236).png,1,train
train/not-good/Slice_Bad (175).png,1,train
train/not-good/slice059_011.png,1,train
train/not-good/slice044_011.png,1,train
train/not-good/slice010_002.png,1,train
train/not-good/slice004_015.png,1,train
train/not-good/Slice_Bad (140).png,1,train
train/not-good/slice016_010.png,1,train
train/not-good/slice057_012.png,1,train
train/not-good/slice019_006.png,1,train
train/not-good/Slice_Bad (13).png,1,train
train/not-good/slice048_000.png,1,train
train/not-good/Slice_Bad (110).png,1,train
train/not-good/Slice_Bad (51).png,1,train
train/not-good/slice044_003.png,1,train
train/not-good/slice027_001.png,1,train
train/not-good/slice013_015.png,1,train
train/not-good/Slice_Bad (249).png,1,train
train/not-good/slice061_009.png,1,train
train/not-good/Slice_Bad (176).png,1,train
train/not-good/slice036_010.png,1,train
train/not-good/slice057_015.png,1,train
train/not-good/slice013_001.png,1,train
train/not-good/slice061_013.png,1,train
train/not-good/slice032_006.png,1,train
train/not-good/slice050_009.png,1,train
train/not-good/Slice_Bad (39).png,1,train
train/not-good/slice001_007.png,1,train
train/not-good/slice001_009.png,1,train
train/not-good/slice010_010.png,1,train
train/not-good/Slice_Bad (193).png,1,train
train/not-good/slice036_004.png,1,train
train/not-good/slice034_011.png,1,train
train/not-good/slice036_013.png,1,train
train/not-good/Slice_Bad (98).png,1,train
train/not-good/Slice_Bad (23).png,1,train
train/not-good/slice003_001.png,1,train
train/not-good/Slice_Bad (109).png,1,train
train/not-good/Slice_Bad (33).png,1,train
train/not-good/Slice_Bad (149).png,1,train
train/not-good/Slice_Bad (92).png,1,train
train/not-good/Slice_Bad (180).png,1,train
train/not-good/slice003_013.png,1,train
train/not-good/Slice_Bad (105).png,1,train
train/not-good/slice045_015.png,1,train
train/not-good/slice054_015.png,1,train
train/not-good/slice038_004.png,1,train
train/not-good/slice020_001.png,1,train
train/not-good/Slice_Bad (163).png,1,train
train/not-good/slice044_015.png,1,train
train/not-good/slice038_012.png,1,train
train/not-good/slice034_015.png,1,train
train/not-good/slice050_006.png,1,train
train/not-good/slice037_015.png,1,train
train/not-good/slice043_012.png,1,train
train/not-good/slice018_014.png,1,train
train/not-good/Slice_Bad (139).png,1,train
train/not-good/slice017_011.png,1,train
train/not-good/slice017_007.png,1,train
train/not-good/Slice_Bad (146).png,1,train
train/not-good/slice017_003.png,1,train
train/not-good/slice054_009.png,1,train
train/not-good/Slice_Bad (212).png,1,train
train/not-good/slice042_010.png,1,train
train/not-good/slice045_002.png,1,train
train/not-good/slice040_012.png,1,train
train/not-good/Slice_Bad (14).png,1,train
train/not-good/slice050_005.png,1,train
train/not-good/slice047_011.png,1,train
train/not-good/slice015_013.png,1,train
train/not-good/slice047_009.png,1,train
train/not-good/Slice_Bad (45).png,1,train
train/not-good/Slice_Bad (130).png,1,train
train/not-good/slice015_009.png,1,train
train/not-good/Slice_Bad (122).png,1,train
train/not-good/Slice_Bad (106).png,1,train
train/not-good/slice029_004.png,1,train
train/not-good/slice012_005.png,1,train
